ENSEMBL;Gene Symbol;logFC;logCPM;F;PValue;FDR;type
ENSG00000154917;RAB6B;-1.00105090157213;4.39172354486524;44.8797389050954;1.6371725529313e-06;3.03723735681737e-05;down
ENSG00000189221;MAOA;-1.00138946526332;4.35479445240833;57.6993644270136;2.62584115527578e-07;7.81495022978671e-06;down
ENSG00000142089;IFITM3;-1.00194218324242;6.81095320681651;60.3371214485904;1.87266031611586e-07;5.99422711712325e-06;down
ENSG00000166750;SLFN5;-1.00241934457921;4.54570558336808;70.7934896395326;5.43481252899088e-08;2.42108782342434e-06;down
ENSG00000154065;ANKRD29;-1.00246378510343;3.10708551168866;36.4881833191686;6.71904173302506e-06;9.02842994827613e-05;down
ENSG00000087510;TFAP2C;-1.00293906113025;4.92810974855895;49.0482942242098;8.69372564576605e-07;1.87377248587019e-05;down
ENSG00000110011;DNAJC4;-1.00298049434507;2.99920505092812;29.8846202812693;2.40059089326042e-05;0.000235976566513892;down
ENSG00000138101;DTNB;-1.00401773836569;3.10600102150351;26.0863832441372;5.42276272743942e-05;0.00043744870260336;down
ENSG00000185561;TLCD2;-1.00463346012589;3.12079935870128;18.3548542222082;0.00036423418262367;0.00193575522284951;down
ENSG00000254726;MEX3A;-1.00466352480212;4.49369196731745;78.8276725206324;2.30943391200897e-08;1.24727264714986e-06;down
ENSG00000125170;DOK4;-1.00593097935632;4.52715327759435;85.3803824898202;1.20890955209388e-08;7.53968602006757e-07;down
ENSG00000214026;MRPL23;-1.00686392522067;3.98511390774043;26.1521983167188;5.34355874760921e-05;0.000433811374123956;down
ENSG00000142273;CBLC;-1.01172820373603;3.00240725323732;29.4008132320266;2.65335490081832e-05;0.000253865447008527;down
ENSG00000233532;LINC00460;-1.01216198174655;1.94403867287815;12.8660056150521;0.00185090632899488;0.00697480542294729;down
ENSG00000011132;APBA3;-1.01249867664557;3.0573999602164;15.5787803578007;0.000800442153734763;0.00357033955562559;down
ENSG00000001617;SEMA3F;-1.01638886669878;2.3341615309913;15.823416859745;0.000744792788820166;0.00336069726774725;down
ENSG00000133216;EPHB2;-1.0164314507425;4.33236297800155;64.7881821059757;1.08524368797294e-07;4.06180847003627e-06;down
ENSG00000068903;SIRT2;-1.01758805576022;2.62875990304471;30.9928471843669;1.91587580372318e-05;0.000197053461341764;down
ENSG00000136425;CIB2;-1.01778588778359;3.13664568301921;34.5492155529817;9.6028878408293e-06;0.000118871854086301;down
ENSG00000253313;C1orf210;-1.01863580358872;3.1432799828245;34.9032187900605;8.98800384181672e-06;0.000113061328902277;down
ENSG00000159069;FBXW5;-1.01888082682635;4.93712260216239;46.2114285302193;1.33153884158154e-06;2.59901769401352e-05;down
ENSG00000163082;SGPP2;-1.02155603910269;1.71127766147307;16.8535527223088;0.000553093923030277;0.00266414524633179;down
ENSG00000135406;PRPH;-1.02200623617453;1.36039145846409;12.7713396977491;0.00190851689881717;0.00713996640295655;down
